title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
FRANK THOMAS 1996 PINNACLE DUFEX ARTISTS PROOF INSERT PARALLEL #62 RARE,$21.00,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127589899149
1998 Pinnacle Zenith Baseball Raising the Bar Frank Thomas Card #2 Hall of Famer,$9.99,"Sold Mar 8, 2026",N,,,N,N,$1.30,rog1935,New,https://www.ebay.com/itm/326953483695
FRANK THOMAS 1998 PINNACLE ZENITH Z SILVER INSERT PARALLEL #6,$2.25,"Sold Jan 29, 2026",N,,,Y,N,$1.50,retro_sports_co,New,https://www.ebay.com/itm/127639749969
"1996 Pinnacle FRANK THOMAS Insert ""TEAM PINNACLE"" #1 Dufex Foil Baseball Card",$5.00,"Sold Mar 2, 2026",N,,,N,N,$0.95,eclarkjr,New,https://www.ebay.com/itm/389655894265
1996 Pinnacle #2 Frank Thomas 1st Rate (First Rate) PSA 9 MINT POP 3,$49.99,"Sold Mar 17, 2026",Y,PSA,9,N,N,$5.50,tysonhamilton,New,https://www.ebay.com/itm/187965912533
💥1996 Pinnacle Frank Thomas Slugfest #1 White Sox,$4.25,"Sold Feb 1, 2026",N,,,Y,N,$0.00,svenzino,New,https://www.ebay.com/itm/358153793059
1996 Pinnacle Zenith - Z Team Frank Thomas #4 Sample,$9.99,"Sold Mar 15, 2026",N,,,Y,N,$6.07,djharley00,New,https://www.ebay.com/itm/188142493197
Frank Thomas 1995 Pinnacle Zenith Card #33 Chicago White Sox HOF Free Shipping,$1.49,"Sold Feb 2, 2026",N,,,N,Y,$0.00,bondscoll,New,https://www.ebay.com/itm/385332636848
Frank Thomas 1996 Pinnacle Zenith Z-Team 4 Chicago White Sox,$12.99,"Sold Dec 22, 2025",N,,,N,Y,$0.00,rindo03461,New,https://www.ebay.com/itm/116939982236
1996 PINNACLE ZENITH MOZAICS COMPLETE INSERT SET #1-25 KEN GRIFFEY JR THOMAS,$37.69,"Sold Feb 15, 2026",N,,,Y,N,$6.99,retro_sports_co,New,https://www.ebay.com/itm/127673721107
1996 ZENITH #133 FRANK THOMAS WHITE SOX HOF PSA 10,$41.00,"Sold Mar 17, 2026",Y,PSA,10,Y,N,$5.00,4_sharp_corners,New,https://www.ebay.com/itm/267600254304
1996 Pinnacle Zenith Frank Thomas Durham Ventura #3 MOZAICS-White Sox,$4.99,"Sold Mar 9, 2026",N,,,N,N,$0.00,wolf91187,New,https://www.ebay.com/itm/257110056008
