title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
1991 Stadium Club Charter Member Nolan Ryan #NNO,$1.89,"Sold Jan 6, 2026",N,,,N,N,$0.00,central.cali.collectibles,New,https://www.ebay.com/itm/256380411152
1991 TOPPS Stadium CLUB Charter Member Box Set with Nolan Ryan Medallion,$14.99,"Sold Feb 12, 2026",N,,,N,Y,$8.81,ssien78,New,https://www.ebay.com/itm/117026477410
1991 Stadium Club Charter Member - Bronze Ingot Nolan Ryan - In Box,$1.99,"Sold Mar 8, 2026",N,,,N,Y,$5.52,pech5548,New,https://www.ebay.com/itm/227220003821
1991 STADIUM CLUB CHARTER MEMBER #NNO NOLAN RYAN TEXAS RANGERS,$1.99,"Sold Jan 1, 2026",N,,,N,N,$0.00,topps55,New,https://www.ebay.com/itm/397453911399
Nolan Ryan 1991 Stadium Club Charter Member Commemorative Medallion Card,$3.00,"Sold Feb 22, 2026",N,,,N,Y,$5.75,collectibleswithphil,New,https://www.ebay.com/itm/286543916550
1991 Stadium Club Charter Member Nolan Ryan #NNO Texas Rangers,$3.00,"Sold Dec 27, 2025",N,,,N,N,$0.00,rivercitycards_us,New,https://www.ebay.com/itm/197976897186
Box 55: 1991 Stadium Club Charter Member UNCUT SIDE PROOF Nolan Ryan No Hitter,$14.00,"Sold Feb 3, 2026",N,,,N,N,$5.00,leximo2,New,https://www.ebay.com/itm/397368278529
1991 TOPPS STADIUM CLUB CHARTER MEMBERS 300TH WIN NOLAN RYAN PSA 8,$5.50,"Sold Feb 1, 2026",Y,PSA,8,Y,N,$5.99,psa,New,https://www.ebay.com/itm/116998137400
Nolan Ryan 1991 Stadium Club Members Charter Card,$2.99,"Sold Feb 13, 2026",N,,,N,N,$1.49,r_o_double_b,New,https://www.ebay.com/itm/236634693912
Box 11: 1991 St. Club Charter Member OVESIZE PROOF Nolan Ryan 300 Wins,$14.00,"Sold Jan 7, 2026",N,,,N,N,$3.00,leximo2,New,https://www.ebay.com/itm/357994955548
Nolan Ryan-1991 Topps Stadium Club Charter Member Texas Rangers,$1.95,"Sold Jan 21, 2026",N,,,N,N,$0.00,danpe2305,New,https://www.ebay.com/itm/287088809163
1991 Stadium Club Charter Members Commemorative Nolan Ryan Medallion With Box,$2.99,"Sold Feb 21, 2026",N,,,N,N,$5.44,billynormick,New,https://www.ebay.com/itm/127595497867
Nolan Ryan 1991 Topps Stadium Club Lot (4) – 2 Charter Member + 2 Members Only,$74.99,"Sold Feb 7, 2026",N,,,N,Y,$7.70,mickey11050,New,https://www.ebay.com/itm/157595859034
1991 Topps Stadium Club Charter Members Only Box Set with Nolan Ryan Medallion,$1.25,"Sold Jan 6, 2026",N,,,Y,N,$8.65,chongos-cardboardandcollectibles,Brand New,https://www.ebay.com/itm/177717132987
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$5.50,"Sold Feb 26, 2026",N,,,N,N,$5.45,yinzer68,New,https://www.ebay.com/itm/376919270145
Nolan Ryan 1991 Stadium Club Charter Members Only “7th No Hitter” Texas Rangers,$1.99,"Sold Feb 24, 2026",N,,,N,N,$0.00,cincysignatures,New,https://www.ebay.com/itm/116999505539
Nolan Ryan 1991 Topps Stadium Club Charter Member Commemorative Medallion Card,$6.99,"Sold Feb 14, 2026",N,,,N,Y,$5.95,bmcloseouts,New,https://www.ebay.com/itm/136646327813
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$4.99,"Sold Feb 27, 2026",N,,,N,N,$4.95,brunerfamilystore,New,https://www.ebay.com/itm/116836053452
1991 Stadium Club Charter Member Bronze Nolan Ryan,$3.26,"Sold Mar 19, 2026",N,,,Y,N,$5.00,tntnorthnj,New,https://www.ebay.com/itm/206132093520
1991 Stadium Club Charter Member #24 Nolan Ryan/A No-Hitter For/The Ages,$2.05,"Sold Feb 6, 2026",N,,,N,N,$0.00,bonds2001,New,https://www.ebay.com/itm/389168129015
1991 Stadium Club Charter Member #NNO Nolan Ryan MULTISPORT Texas Rangers,$3.00,"Sold Jan 6, 2026",N,,,N,N,$0.00,dellcards,New,https://www.ebay.com/itm/197694119486
1991 Topps Stadium Club Charter Member Nolan Ryan Baseball Card ⚾️,$3.50,"Sold Jan 30, 2026",N,,,N,Y,$0.97,johnam83,New,https://www.ebay.com/itm/177125542002
1991 Topps Stadium Club - Charter Member 50 Card Set - KEN GRIFFEY JR. - GRETZKY,$10.99,"Sold Mar 16, 2026",N,,,N,N,$4.95,nsdptch7,Brand New,https://www.ebay.com/itm/358198903359
VTG 1991 Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$15.43,"Sold Feb 28, 2026",N,,,N,N,$5.99,burbankcardcollector,New,https://www.ebay.com/itm/236641043041
"NOLAN RYAN 1991 TOPPS STADIUM CLUB MEMBERS ONLY BRONZE MEDALLION ""300"" WINS",$3.99,"Sold Feb 6, 2026",N,,,N,N,$4.95,ronkar88,New,https://www.ebay.com/itm/187633791918
