title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
"1991 Stadium Club #270 Ken Griffey, Jr.",$1.99,$0.00,"Sold Feb 3, 2026",mudfinancial,New,https://www.ebay.com/itm/206038989207,N,,,N,N,1.99,0.0,1.99,2026-02-03,bin,False,False,,,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$2.35,$1.03,"Sold Mar 5, 2026",quentinjmu,New,https://www.ebay.com/itm/157689345518,N,,,N,Y,2.35,1.03,3.38,2026-03-05,bin,True,False,,,270
1991 Topps Stadium Club #270 KEN GRIFFEY JR. Seattle Mariners,$2.83,$0.88,"Sold Mar 10, 2026",mr.condor,New,https://www.ebay.com/itm/168192734856,N,,,N,N,2.83,0.88,3.71,2026-03-10,bin,False,False,,,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$1.99,$0.74,"Sold Jan 22, 2026",iconic_sportscards,New,https://www.ebay.com/itm/227174296813,N,,,N,N,1.99,0.74,2.73,2026-01-22,bin,False,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270,$40.00,$5.77,"Sold Mar 15, 2026",portageeprodigy,New,https://www.ebay.com/itm/406685487401,N,,,N,N,40.0,5.77,45.77,2026-03-15,bin,False,False,,,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$3.00,$0.00,"Sold Feb 14, 2026",blackandgold1970_7,New,https://www.ebay.com/itm/157680431947,N,,,N,Y,3.0,0.0,3.0,2026-02-14,bin,True,False,,,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$1.70,$0.74,"Sold Jan 1, 2026",bbcardsnstuff,New,https://www.ebay.com/itm/297883747088,N,,,N,Y,1.7,0.74,2.44,2026-01-01,bin,True,False,,,270
1991 Topps Stadium Club Baseball #270 Ken Griffey Jr. NM Mariners,$3.00,$1.00,"Sold Feb 23, 2026",dfb_collectibles,New,https://www.ebay.com/itm/277749743889,N,,,N,N,3.0,1.0,4.0,2026-02-23,bin,False,False,,,270
"1991 Stadium Club Ken Griffey, Jr. #270 Seattle Mariners",$2.99,$0.00,"Sold Jan 22, 2026",pracc34610,New,https://www.ebay.com/itm/187900631152,N,,,N,Y,2.99,0.0,2.99,2026-01-22,bin,True,False,,,270
73022 1991 Stadium Club #270 Ken Griffey Jr.,$2.00,$0.00,"Sold Mar 8, 2026",bargain-box-cards,New,https://www.ebay.com/itm/336468614276,N,,,N,N,2.0,0.0,2.0,2026-03-08,bin,False,False,,,270
1991 Stadium Club Base Set #270 Ken Griffey Jr. Seattle Mariners,$1.99,$0.99,"Sold Mar 12, 2026",jaggedtoothtackle,New,https://www.ebay.com/itm/168184783196,N,,,N,N,1.99,0.99,2.98,2026-03-12,bin,False,False,,,270
"1991 Topps Stadium Club #270 Ken Griffey Jr. NM-MT , Free Shipping",$3.69,$0.00,"Sold Mar 2, 2026",mruncirculated,New,https://www.ebay.com/itm/389658296146,N,,,N,Y,3.69,0.0,3.69,2026-03-02,bin,True,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270,$2.50,$0.74,"Sold Feb 12, 2026",qurtos,New,https://www.ebay.com/itm/406682694375,N,,,N,N,2.5,0.74,3.24,2026-02-12,bin,False,False,,,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$2.43,$1.32,"Sold Mar 2, 2026",cardexhq,New,https://www.ebay.com/itm/198108197091,N,,,N,Y,2.43,1.32,3.75,2026-03-02,bin,True,False,,,270
"Ken Griffey, Jr. - 1991 Stadium Club #270 - Seattle Mariners",$1.75,$0.74,"Sold Feb 15, 2026",sigpiryno,New,https://www.ebay.com/itm/117037798083,N,,,N,N,1.75,0.74,2.49,2026-02-15,bin,False,False,,,270
1991 STADIUM CLUB #270 KEN GRIFFEY JR. MARINERS HOF PSA 9,$38.99,$5.00,"Sold Mar 7, 2026",shane23ethan,New,https://www.ebay.com/itm/117070501807,Y,PSA,9,N,Y,38.99,5.0,43.99,2026-03-07,bin,True,True,PSA,9.0,270
1991 Stadium Club Ken Griffey Jr Card #270 near mint-mint,$2.00,$1.32,"Sold Jan 28, 2026",mbordas-219,New,https://www.ebay.com/itm/127637410240,N,,,Y,N,2.0,1.32,3.32,2026-01-28,auction,False,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270 PSA 9,$27.50,$5.07,"Sold Jan 11, 2026",williabaile24,New,https://www.ebay.com/itm/358090838347,Y,PSA,9,Y,N,27.5,5.07,32.57,2026-01-11,auction,False,True,PSA,9.0,270
1991 Topps Stadium Club - Ken Griffey Jr #270,$3.99,$0.00,"Sold Jan 31, 2026",idcards,New,https://www.ebay.com/itm/366147909033,N,,,N,Y,3.99,0.0,3.99,2026-01-31,bin,True,False,,,270
1991 Topps Stadium Club #270 Ken Griffey Jr. Seattle Mariners,$2.80,$1.32,"Sold Mar 13, 2026",benscards09,New,https://www.ebay.com/itm/327023030967,N,,,N,Y,2.8,1.32,4.12,2026-03-13,bin,True,False,,,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$1.79,$1.32,"Sold Feb 9, 2026",usa-breaks,New,https://www.ebay.com/itm/127672785359,N,,,N,N,1.79,1.32,3.11,2026-02-09,bin,False,False,,,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$2.39,$1.74,"Sold Jan 4, 2026",artsyndicates,New,https://www.ebay.com/itm/357998284925,N,,,N,Y,2.39,1.74,4.13,2026-01-04,bin,True,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270,$1.99,$1.32,"Sold Feb 12, 2026",jscardcollect,New,https://www.ebay.com/itm/406427714645,N,,,N,Y,1.99,1.32,3.31,2026-02-12,bin,True,False,,,270
"1991 Topps Stadium Club Baseball - KEN GRIFFEY, JR. # 270 - Free Shipping!!",$5.00,$0.00,"Sold Feb 14, 2026",dasi-6449,New,https://www.ebay.com/itm/358158590425,N,,,N,N,5.0,0.0,5.0,2026-02-14,bin,False,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270 B68,$2.99,$0.00,"Sold Feb 12, 2026",wilwood-759,New,https://www.ebay.com/itm/157375965782,N,,,N,N,2.99,0.0,2.99,2026-02-12,bin,False,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270 | Seattle Mariners,$2.99,$0.00,"Sold Jan 18, 2026",jaxjay9,New,https://www.ebay.com/itm/306692351357,N,,,N,N,2.99,0.0,2.99,2026-01-18,bin,False,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270,$2.00,$1.32,"Sold Feb 12, 2026",samsten12,New,https://www.ebay.com/itm/236541732061,N,,,N,Y,2.0,1.32,3.32,2026-02-12,bin,True,False,,,270
1991 STADIUM CLUB #270 KEN GRIFFEY JR HOF PSA 9 MINT,$32.50,$5.77,"Sold Feb 5, 2026",duskni-4609,New,https://www.ebay.com/itm/389471220847,Y,PSA,9,N,N,32.5,5.77,38.27,2026-02-05,bin,False,True,PSA,9.0,270
"1991 Stadium Club #270 Ken Griffey, Jr.",$2.00,$1.03,"Sold Jan 11, 2026",tamjam,New,https://www.ebay.com/itm/168071087911,N,,,N,Y,2.0,1.03,3.03,2026-01-11,bin,True,False,,,270
1991 Topps Stadium Club - Ken Griffey Jr #270 Seattle Mariners HOF,$2.50,$0.00,"Sold Feb 1, 2026",rolloo_88,New,https://www.ebay.com/itm/358177220034,N,,,N,N,2.5,0.0,2.5,2026-02-01,bin,False,False,,,270
"1991 Stadium Club Ken Griffey, Jr. #270",$2.50,$0.99,"Sold Feb 16, 2026",sportsbreaksunlimited,New,https://www.ebay.com/itm/137016206911,N,,,N,N,2.5,0.99,3.49,2026-02-16,bin,False,False,,,270
