title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
1996 Pinnacle Summit - Hitters Inc. Frank Thomas #6 /4000,$4.00,$1.32,"Sold Feb 23, 2026",4murphy,New,https://www.ebay.com/itm/267570332936,N,,,N,Y,4.0,1.32,5.32,2026-02-23,bin,True,False,,6.0,
1996 Pinnacle #157 Frank Thomas Starburst,$2.00,$1.00,"Sold Jan 18, 2026",rodent144,New,https://www.ebay.com/itm/147052269040,N,,,N,N,2.0,1.0,3.0,2026-01-18,bin,False,False,,,157
FRANK THOMAS 1996 PINNACLE ZENITH DIAMOND CLUB INSERT #8,$6.01,$1.50,"Sold Jan 18, 2026",retro_sports_co,New,https://www.ebay.com/itm/116978540139,N,,,Y,N,6.01,1.5,7.51,2026-01-18,auction,False,False,,8.0,
"1996 Pinnacle FRANK THOMAS Insert ""TEAM PINNACLE"" #1 Dufex Foil Baseball Card",$5.00,$0.95,"Sold Mar 2, 2026",eclarkjr,New,https://www.ebay.com/itm/389655894265,N,,,N,N,5.0,0.95,5.95,2026-03-02,bin,False,False,,1.0,
1996 Pinnacle Zenith Frank Thomas Durham Ventura #3 MOZAICS-White Sox,$4.99,$0.00,"Sold Mar 9, 2026",wolf91187,New,https://www.ebay.com/itm/257110056008,N,,,N,N,4.99,0.0,4.99,2026-03-09,bin,False,False,,3.0,
FRANK THOMAS 1996 SELECT CERTIFIED EDITION ARTISTS PROOF INSERT PARALLEL #1,$27.00,$5.99,"Sold Jan 4, 2026",retro_sports_co,New,https://www.ebay.com/itm/116952872845,N,,,Y,N,27.0,5.99,32.99,2026-01-04,auction,False,False,,1.0,
1996 Pinnacle #2 Frank Thomas 1st Rate (First Rate) PSA 9 MINT POP 3,$49.99,$5.50,"Sold Mar 17, 2026",tysonhamilton,New,https://www.ebay.com/itm/187965912533,Y,PSA,9,N,N,49.99,5.5,55.49,2026-03-17,bin,False,True,PSA,9.0,
1996 Pinnacle The Naturals #135 Frank Thomas Chicago White Sox,$1.00,$0.00,"Sold Jan 26, 2026",joshunboxedcards,New,https://www.ebay.com/itm/116978005762,N,,,N,N,1.0,0.0,1.0,2026-01-26,bin,False,False,,,135
FRANK THOMAS 1996 PINNACLE ZENITH MOZAICS DUFEX INSERT #3,$3.25,$1.50,"Sold Jan 18, 2026",retro_sports_co,New,https://www.ebay.com/itm/116978541802,N,,,Y,N,3.25,1.5,4.75,2026-01-18,auction,False,False,,3.0,
1996 Pinnacle #198 Frank Thomas 300 Series Starburst Chicago White Sox,$2.50,$0.00,"Sold Jan 11, 2026",johnnym4151,New,https://www.ebay.com/itm/317725354480,N,,,N,Y,2.5,0.0,2.5,2026-01-11,bin,True,False,,,198
