title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
1991 Topps Stadium Club Nolan Ryan Charter Member Texas Rangers HOF (Medallion),$8.99,"Sold Mar 13, 2026",N,,,N,N,$4.00,pietilacards,New,https://www.ebay.com/itm/366176935363,https://i.ebayimg.com/images/g/6R8AAeSwQZxphAeF/s-l500.webp
NILAN RYAN 1991 TOPPS STADIUM CLUB CHARTER MEMBER NO NUMBER FREE SHIPPING,$1.30,"Sold Mar 11, 2026",N,,,N,Y,$0.00,walnutchair19,New,https://www.ebay.com/itm/127476902411,https://i.ebayimg.com/images/g/1JkAAeSwduJpDmdm/s-l500.webp
Topps Stadium Club Members Only Charter Member 1991 Key Chain New Never Used,$0.99,"Sold Mar 11, 2026",N,,,N,N,$5.49,detroitcitycollectibles,Brand New,https://www.ebay.com/itm/306801097703,https://i.ebayimg.com/images/g/c~UAAeSwhf5pg5s3/s-l500.webp
1991 Topps Stadium Club Charter Member Box Set Nolan Ryan Medallion Members Only,$12.00,"Sold Mar 11, 2026",N,,,N,N,$6.09,man,New,https://www.ebay.com/itm/227163638275,https://i.ebayimg.com/images/g/tXoAAeSwnnNpXdM0/s-l500.webp
Nolan Ryan Commemorative Bronze Medallion 1991 Topps Stadium Club Charter Member,$5.00,"Sold Mar 9, 2026",N,,,N,Y,$7.95,jpd0_17,New,https://www.ebay.com/itm/197985649288,https://i.ebayimg.com/images/g/MFkAAeSwNntpUgm7/s-l500.webp
1991 Topps Stadium Club Charter Members Only Nolan Ryan Bronze Medallion Set,$5.50,"Sold Mar 9, 2026",N,,,Y,N,$6.87,nostalgictreasures2079,New,https://www.ebay.com/itm/366240627933,https://i.ebayimg.com/images/g/54EAAeSwRJ9pJJMF/s-l500.webp
"1991 Topps Stadium Club Charter Member Box, Card Set, Medallion, & Keychain MINT",$10.00,"Sold Jan 2, 2026",N,,,N,N,$11.95,mistercollect,New,https://www.ebay.com/itm/365970982411,https://i.ebayimg.com/images/g/ehIAAeSwIehpDvBy/s-l500.webp
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT HOF Rangers",$3.50,"Sold Mar 8, 2026",N,,,Y,N,$4.95,va-979010,New,https://www.ebay.com/itm/177896656473,https://i.ebayimg.com/images/g/AfsAAeSwTqFpoE7t/s-l500.webp
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT Texas Rangers HOF",$3.20,"Sold Mar 8, 2026",N,,,Y,N,$4.95,va-979010,New,https://www.ebay.com/itm/177896656472,https://i.ebayimg.com/images/g/1LIAAeSwGa9poE3u/s-l500.webp
1991 Stadium Club Charter Member - Bronze Ingot Nolan Ryan - In Box,$1.99,"Sold Mar 8, 2026",N,,,N,Y,$5.52,pech5548,New,https://www.ebay.com/itm/227220003821,https://i.ebayimg.com/images/g/y80AAeSwnaNpk49T/s-l500.webp
1991 Topps Stadium Club Charter Member Nolan Ryan Medallion 80 MEMBERS ONLY card,$4.00,"Sold Mar 6, 2026",N,,,Y,N,$10.00,kidizop1959,New,https://www.ebay.com/itm/317964874048,https://i.ebayimg.com/images/g/Xz0AAOSwxk1oGlis/s-l500.webp
1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYAN MEDALLION (LOOK),$10.99,"Sold Mar 6, 2026",N,,,N,N,$2.99,sdpawnbristol,Brand New,https://www.ebay.com/itm/127532500939,https://i.ebayimg.com/images/g/29oAAeSwt3lpKhnL/s-l500.webp
"1991 Stadium Club Charter Member Box Set - Ryan Medallion, Keychain, 50 Card Set",$10.00,"Sold Dec 10, 2025",N,,,N,N,$10.00,jsf021408,New,https://www.ebay.com/itm/167869949829,https://i.ebayimg.com/images/g/DQIAAeSwdTVo9GPL/s-l500.webp
1991 Topps Stadium Club Bronze Nolan Ryan Charter Member Commemorative Medallion,$11.99,"Sold Mar 3, 2026",N,,,N,N,$0.00,selfon007,New,https://www.ebay.com/itm/127671999808,https://i.ebayimg.com/images/g/RfwAAeSwashph9KD/s-l500.webp
"1991 Topps Stadium Club Charter Member Kit ⚾️ Card Set, medallion & Key Chain",$30.00,"Sold Mar 2, 2026",N,,,Y,N,$8.46,lauricardina_0,Brand New,https://www.ebay.com/itm/227238032605,https://i.ebayimg.com/images/g/vKoAAeSwMt5oEUgq/s-l500.webp
1991 Stadium Club Charter Member Nolan Ryan (No-Hitter) HOF 5sb,$1.38,"Sold Feb 28, 2026",N,,,N,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/257382960873,https://i.ebayimg.com/images/g/IfsAAeSwVftpojWW/s-l500.webp
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$4.99,"Sold Feb 27, 2026",N,,,N,N,$4.95,brunerfamilystore,New,https://www.ebay.com/itm/116836053452,https://i.ebayimg.com/images/g/-PkAAeSwI~NoAbKQ/s-l500.webp
1991/92 TOPPS STADIUM CLUB CHARTER MEMBER BASEBALL RICKEY HENDERSON THIEF KSA 9,$5.78,"Sold Feb 27, 2026",N,,,Y,N,$8.99,pacificauctionslimited,New,https://www.ebay.com/itm/358239862761,https://i.ebayimg.com/images/g/vKIAAeSwCB9o-Byn/s-l500.webp
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$5.50,"Sold Feb 26, 2026",N,,,N,N,$5.45,yinzer68,New,https://www.ebay.com/itm/376919270145,https://i.ebayimg.com/images/g/~D0AAeSwg0Zpfkuz/s-l500.webp
Nolan Ryan 1991 Stadium Club Charter Members Only “7th No Hitter” Texas Rangers,$1.99,"Sold Feb 24, 2026",N,,,N,N,$0.00,cincysignatures,New,https://www.ebay.com/itm/116999505539,https://i.ebayimg.com/images/g/YncAAeSwo59pdUHq/s-l500.webp
1991 Stadium Club Charter Member Commemorative Bronze Medallion Nolan Ryan,$10.99,"Sold Feb 24, 2026",N,,,N,N,$1.99,mantlemania4ever,New,https://www.ebay.com/itm/177044125064,https://i.ebayimg.com/images/g/YF0AAOSwp1xoDGJD/s-l500.webp
Nolan Ryan 1991 Stadium Club Charter Member Commemorative Medallion Card,$3.00,"Sold Feb 22, 2026",N,,,N,Y,$5.75,collectibleswithphil,New,https://www.ebay.com/itm/286543916550,https://i.ebayimg.com/images/g/lA0AAOSw9YxoF9Ug/s-l500.webp
1991 Topps Stadium Club Nolan Ryan Gold Medallion Charter Member,$4.00,"Sold Feb 22, 2026",N,,,Y,N,$5.52,bw5-collectibles,New,https://www.ebay.com/itm/298036561120,https://i.ebayimg.com/images/g/S3MAAeSwuW1pP2hN/s-l500.webp
1991 Stadium Club Charter Members Commemorative Nolan Ryan Medallion With Box,$2.99,"Sold Feb 21, 2026",N,,,N,N,$5.44,billynormick,New,https://www.ebay.com/itm/127595497867,https://i.ebayimg.com/images/g/TIoAAeSwfnBpVV6E/s-l500.webp
Nolan Ryan HOF Rangers Signed 1991 Stadium Club Charter Member AUTO BAS,$113.50,"Sold Feb 17, 2026",N,,,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/376954475598,https://i.ebayimg.com/images/g/SeYAAeSwnPZpi6DV/s-l500.webp
