price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
19.5,4.99,24.49,2026-03-19,auction,False,,,,Michael Jordan 1991 Upper Deck - Short Print #SP1 1st Bas...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.59,12.75,35.34,2026-03-19,auction,False,,,,1991 UPPER DECK #SP1 MICHAEL JORDAN INSERTS,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
25.0,5.52,30.52,2026-03-19,bin,True,,,,1990 Upper Deck MICHAEL JORDAN Baseball Rookie Card #SP1 ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
15.01,5.5,20.51,2026-03-19,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1 Bulls H...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
14.58,10.92,25.5,2026-03-19,auction,False,,,,1991 Upper Deck Michael Jordan #SP1 Chicago Cubs,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
14.95,4.0,18.95,2026-03-19,auction,False,,,,1991 Upper Deck - #SP1 Michael Jordan (SP) Chicago White Sox,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
10.5,5.0,15.5,2026-03-19,auction,False,,,,Upper Deck 1991 Michael Jordan SP1 Insert Chicago White S...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,5.99,25.98,2026-03-19,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
11.49,1.03,12.52,2026-03-19,bin,False,,,,1991 Upper Deck Michael Jordan #SP1 (*See Corner Pics*),$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.5,4.95,28.45,2026-03-19,auction,False,,,,1991 Upper Deck: #SP1 Michael Jordan NM-MT OR BETTER,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
