price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
4.99,4.95,9.94,2026-02-27,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Bronze ...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
3.26,5.0,8.26,2026-03-19,auction,False,,,,1991 Stadium Club Charter Member Bronze Nolan Ryan,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.05,0.0,2.05,2026-02-06,bin,False,24,,,1991 Stadium Club Charter Member #24 Nolan Ryan/A No-Hitt...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
3.0,0.0,3.0,2026-01-06,bin,False,,,,1991 Stadium Club Charter Member #NNO Nolan Ryan MULTISPO...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
3.5,0.97,4.47,2026-01-30,bin,True,,,,1991 Topps Stadium Club Charter Member Nolan Ryan Basebal...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
15.43,5.99,21.42,2026-02-28,bin,False,,,,VTG 1991 Stadium Club Nolan Ryan Charter Member Bronze Co...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
3.99,4.95,8.94,2026-02-06,bin,False,300,,,NOLAN RYAN 1991 TOPPS STADIUM CLUB MEMBERS ONLY BRONZE ME...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.95,4.95,6.9,2026-02-04,bin,True,,,,1991 Topps Stadium Club Nolan Ryan Gold Medallion Charter...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
5.0,7.95,12.95,2026-03-09,bin,True,,,,Nolan Ryan Commemorative Bronze Medallion 1991 Topps Stad...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
20.0,8.35,28.35,2025-12-31,bin,False,,,,1991 TOPPS STADIUM CLUB CHARTER MEMBER ONLY NOLAN RYAN BR...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
9.99,6.09,16.08,2026-02-09,bin,True,,,5.0,"Topps Stadium Club Charter Member 5 Boxes – Nolan Ryan, B...",$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.0,0.0,2.0,2026-03-22,bin,False,00,,2.0,Nolan Ryan Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
11.21,0.0,11.21,2026-01-31,bin,False,,,,1991 Topps Stadium Club Bronze Nolan Ryan Charter Member ...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.38,4.99,6.37,2026-02-28,bin,False,,,,1991 Stadium Club Charter Member Nolan Ryan (No-Hitter) H...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
8.99,11.14,20.13,2026-01-08,bin,False,,,,1991 Topps Stadium Clun Charter Members Only Nolan Ryan B...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
8.99,4.0,12.99,2026-03-13,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Texas R...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
0.99,1.49,2.48,2026-02-16,auction,False,553,,,1991 Topps Stadium Club Charter Member #553 Baseball Nola...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
35.0,4.95,39.95,2026-02-11,bin,False,,PSA,9.0,1991 Stadium Club Charter Members 300th Win Nolan Ryan Ra...,$45-$40-$40,eBay PSA 9 | Model B - Star / High Liquidity | 2 comps,eBay PSA 9
43.7,5.45,49.15,2026-02-11,bin,False,,PSA,9.0,🔥⚾️1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th...,$45-$40-$40,eBay PSA 9 | Model B - Star / High Liquidity | 2 comps,eBay PSA 9
5.5,5.99,11.49,2026-02-01,auction,False,,PSA,8.0,1991 TOPPS STADIUM CLUB CHARTER MEMBERS 300TH WIN NOLAN R...,$11-$6-$6,eBay PSA 8 | Model B - Star / High Liquidity | 1 comp,eBay PSA 8
1.25,8.75,10.0,2026-01-25,auction,False,,PSA,6.0,1991 Stadium Club Nolan Ryan Charter Member No Hitter PSA 6,$10-$5-$5,eBay PSA 6 | Model B - Star / High Liquidity | 1 comp,eBay PSA 6
24.95,5.2,30.15,2026-02-07,bin,False,,SGC,8.5,1991 Stadium Club Charter Members 300th Win Nolan Ryan Ra...,$30-$27-$27,eBay SGC 8.5 | Model B - Star / High Liquidity | 1 comp,eBay SGC 8.5
