title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Nolan Ryan 1991 Stadium Club Charter Members Only “7th No Hitter” Texas Rangers,$1.99,"Sold Feb 24, 2026",N,,,N,N,$0.00,cincysignatures,New,https://www.ebay.com/itm/116999505539
1991 Stadium Club Charter Member Commemorative Bronze Medallion Nolan Ryan,$10.99,"Sold Feb 24, 2026",N,,,N,N,$1.99,mantlemania4ever,New,https://www.ebay.com/itm/177044125064
Nolan Ryan 1991 Stadium Club Charter Member Commemorative Medallion Card,$3.00,"Sold Feb 22, 2026",N,,,N,Y,$5.75,collectibleswithphil,New,https://www.ebay.com/itm/286543916550
1991 Topps Stadium Club Nolan Ryan Gold Medallion Charter Member,$4.00,"Sold Feb 22, 2026",N,,,Y,N,$5.52,bw5-collectibles,New,https://www.ebay.com/itm/298036561120
1991 Stadium Club Charter Members Commemorative Nolan Ryan Medallion With Box,$2.99,"Sold Feb 21, 2026",N,,,N,N,$5.44,billynormick,New,https://www.ebay.com/itm/127595497867
Nolan Ryan HOF Rangers Signed 1991 Stadium Club Charter Member AUTO BAS,$113.50,"Sold Feb 17, 2026",N,,,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/376954475598
1991 Stadium Club Charter Member Nolan Ryan Commemorative Bronze Medallion,$5.24,"Sold Feb 16, 2026",N,,,N,N,$6.45,retro1_center,New,https://www.ebay.com/itm/406094612306
1991 Topps Stadium Club Charter Member #553 Baseball Nolan Ryan Texas Rangers,$0.99,"Sold Feb 16, 2026",N,,,Y,N,$1.49,baseballcardcenter,New,https://www.ebay.com/itm/326994196019
Nolan Ryan HOF 1991 Stadium Club Charter Member #NNO Texas Rangers Mint,$10.00,"Sold Feb 16, 2026",N,,,N,N,$0.00,hof-rc,New,https://www.ebay.com/itm/296190043856
1991-92 NOLAN RYAN Topps Stadium Club Charter Member Limited Edition Box Set NEW,$7.00,"Sold Feb 16, 2026",N,,,Y,N,$5.95,bruggesfcjbr,Brand New,https://www.ebay.com/itm/188042180908
1991 Stadium Club Charter Member Commemorative Nolan Ryan Medallion,$9.99,"Sold Feb 16, 2026",N,,,N,N,$0.00,cardclubhousellc,New,https://www.ebay.com/itm/236622022142
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze 300th Win Tribute,$10.00,"Sold Feb 16, 2026",N,,,N,N,$0.00,xiomi44,New,https://www.ebay.com/itm/389343698694
1991 TOPPS STADIUM CLUB CHARTER MEMBERS ONLY BOX SET WITH NOLAN RYAN MEDALLION,$18.00,"Sold Feb 15, 2026",N,,,Y,N,$7.00,mrgandy,Brand New,https://www.ebay.com/itm/188040395551
Nolan Ryan 1991 Topps Stadium Club Charter Member Commemorative Medallion Card,$6.99,"Sold Feb 14, 2026",N,,,N,Y,$5.95,bmcloseouts,New,https://www.ebay.com/itm/136646327813
Nolan Ryan 1991 Stadium Club Members Charter Card,$2.99,"Sold Feb 13, 2026",N,,,N,N,$1.49,r_o_double_b,New,https://www.ebay.com/itm/236634693912
1991 TOPPS Stadium CLUB Charter Member Box Set with Nolan Ryan Medallion,$14.99,"Sold Feb 12, 2026",N,,,N,Y,$8.81,ssien78,New,https://www.ebay.com/itm/117026477410
🔥⚾️1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th WIN PSA 9🔥🏟,$43.70,"Sold Feb 11, 2026",Y,PSA,9,N,N,$5.45,brasoncz-0,New,https://www.ebay.com/itm/397043915785
1991 Stadium Club Charter Members 300th Win Nolan Ryan Rangers HOF PSA 9 MINT,$35.00,"Sold Feb 11, 2026",Y,PSA,9,N,N,$4.95,brfreddy76,New,https://www.ebay.com/itm/267258286286
1991 Stadium Charter Member Baseball Football Hockey Cards Pick From List,$0.99,"Sold Feb 10, 2026",N,,,N,N,$1.25,mugsfrank,New,https://www.ebay.com/itm/352449343135
1991 TOPPS Stadium CLUB Charter Member Box Set : with Nolan Ryan Medallion (NM),$5.00,"Sold Feb 10, 2026",N,,,N,N,$0.74,tatted7297,New,https://www.ebay.com/itm/406665916335
"Topps Stadium Club Charter Member 5 Boxes – Nolan Ryan, Baseball (1991)",$9.99,"Sold Feb 9, 2026",N,,,N,Y,$6.09,pa-196628,Brand New,https://www.ebay.com/itm/317856574954
