title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
1991 Topps Stadium Club Nolan Ryan Charter Member Texas Rangers HOF (Medallion),$8.99,$4.00,"Sold Mar 13, 2026",pietilacards,New,https://www.ebay.com/itm/366176935363,N,,,N,N,8.99,4.0,12.99,2026-03-13,bin,False,False,,,
NILAN RYAN 1991 TOPPS STADIUM CLUB CHARTER MEMBER NO NUMBER FREE SHIPPING,$1.30,$0.00,"Sold Mar 11, 2026",walnutchair19,New,https://www.ebay.com/itm/127476902411,N,,,N,Y,1.3,0.0,1.3,2026-03-11,bin,True,False,,,
Topps Stadium Club Members Only Charter Member 1991 Key Chain New Never Used,$0.99,$5.49,"Sold Mar 11, 2026",detroitcitycollectibles,Brand New,https://www.ebay.com/itm/306801097703,N,,,N,N,0.99,5.49,6.48,2026-03-11,bin,False,False,,,
1991 Topps Stadium Club Charter Member Box Set Nolan Ryan Medallion Members Only,$12.00,$6.09,"Sold Mar 11, 2026",man,New,https://www.ebay.com/itm/227163638275,N,,,N,N,12.0,6.09,18.09,2026-03-11,bin,False,False,,,
Nolan Ryan Commemorative Bronze Medallion 1991 Topps Stadium Club Charter Member,$5.00,$7.95,"Sold Mar 9, 2026",jpd0_17,New,https://www.ebay.com/itm/197985649288,N,,,N,Y,5.0,7.95,12.95,2026-03-09,bin,True,False,,,
1991 Topps Stadium Club Charter Members Only Nolan Ryan Bronze Medallion Set,$5.50,$6.87,"Sold Mar 9, 2026",nostalgictreasures2079,New,https://www.ebay.com/itm/366240627933,N,,,Y,N,5.5,6.87,12.37,2026-03-09,auction,False,False,,,
"1991 Topps Stadium Club Charter Member Box, Card Set, Medallion, & Keychain MINT",$10.00,$11.95,"Sold Jan 2, 2026",mistercollect,New,https://www.ebay.com/itm/365970982411,N,,,N,N,10.0,11.95,21.95,2026-01-02,bin,False,False,,,
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT HOF Rangers",$3.50,$4.95,"Sold Mar 8, 2026",va-979010,New,https://www.ebay.com/itm/177896656473,N,,,Y,N,3.5,4.95,8.45,2026-03-08,auction,False,False,,,
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT Texas Rangers HOF",$3.20,$4.95,"Sold Mar 8, 2026",va-979010,New,https://www.ebay.com/itm/177896656472,N,,,Y,N,3.2,4.95,8.15,2026-03-08,auction,False,False,,,
1991 Stadium Club Charter Member - Bronze Ingot Nolan Ryan - In Box,$1.99,$5.52,"Sold Mar 8, 2026",pech5548,New,https://www.ebay.com/itm/227220003821,N,,,N,Y,1.99,5.52,7.51,2026-03-08,bin,True,False,,,
1991 Topps Stadium Club Charter Member Nolan Ryan Medallion 80 MEMBERS ONLY card,$4.00,$10.00,"Sold Mar 6, 2026",kidizop1959,New,https://www.ebay.com/itm/317964874048,N,,,Y,N,4.0,10.0,14.0,2026-03-06,auction,False,False,,,80
1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYAN MEDALLION (LOOK),$10.99,$2.99,"Sold Mar 6, 2026",sdpawnbristol,Brand New,https://www.ebay.com/itm/127532500939,N,,,N,N,10.99,2.99,13.98,2026-03-06,bin,False,False,,,
"1991 Stadium Club Charter Member Box Set - Ryan Medallion, Keychain, 50 Card Set",$10.00,$10.00,"Sold Dec 10, 2025",jsf021408,New,https://www.ebay.com/itm/167869949829,N,,,N,N,10.0,10.0,20.0,2025-12-10,bin,False,False,,,50
1991 Topps Stadium Club Bronze Nolan Ryan Charter Member Commemorative Medallion,$11.99,$0.00,"Sold Mar 3, 2026",selfon007,New,https://www.ebay.com/itm/127671999808,N,,,N,N,11.99,0.0,11.99,2026-03-03,bin,False,False,,,
"1991 Topps Stadium Club Charter Member Kit ⚾️ Card Set, medallion & Key Chain",$30.00,$8.46,"Sold Mar 2, 2026",lauricardina_0,Brand New,https://www.ebay.com/itm/227238032605,N,,,Y,N,30.0,8.46,38.46,2026-03-02,auction,False,False,,,
1991 Stadium Club Charter Member Nolan Ryan (No-Hitter) HOF 5sb,$1.38,$4.99,"Sold Feb 28, 2026",comc_consignment,New,https://www.ebay.com/itm/257382960873,N,,,N,N,1.38,4.99,6.37,2026-02-28,bin,False,False,,,
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$4.99,$4.95,"Sold Feb 27, 2026",brunerfamilystore,New,https://www.ebay.com/itm/116836053452,N,,,N,N,4.99,4.95,9.94,2026-02-27,bin,False,False,,,
1991/92 TOPPS STADIUM CLUB CHARTER MEMBER BASEBALL RICKEY HENDERSON THIEF KSA 9,$5.78,$8.99,"Sold Feb 27, 2026",pacificauctionslimited,New,https://www.ebay.com/itm/358239862761,N,,,Y,N,5.78,8.99,14.77,2026-02-27,auction,False,False,,9.0,92
