title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
1991 Topps Stadium Club Members Only Rickey Henderson Athletics,$1.25,"Sold Mar 7, 2026",N,,,N,N,$1.25,lsbeads,New,https://www.ebay.com/itm/116879236599
1991 Topps Stadium Club Members Only Nolan Ryan Ryan 7th No Hitter,$1.50,"Sold Mar 6, 2026",N,,,Y,N,$0.99,crankerbob,New,https://www.ebay.com/itm/277760260340
1991 Topps Stadium Club Charter Member Nolan Ryan Medallion 80 MEMBERS ONLY card,$4.00,"Sold Mar 6, 2026",N,,,Y,N,$10.00,kidizop1959,New,https://www.ebay.com/itm/317964874048
(3) Sealed Boxes Topps Stadium Club 1991 MEMBERS ONLY LIMITED Edition Cards,$15.00,"Sold Mar 6, 2026",N,,,N,Y,$0.00,bcab,Brand New,https://www.ebay.com/itm/317945779473
1991 Topps Stadium Club Members Only Rickey Henderson Running SGC 9 MINT COND,$9.99,"Sold Mar 5, 2026",Y,SGC,9,Y,N,$5.00,jowy7775,New,https://www.ebay.com/itm/358252750647
1991 Stadium Club Members Only Jeff Bagwell Astros RC Rookie HOF PSA 8.5,$15.00,"Sold Mar 5, 2026",Y,PSA,8.5,N,N,$1.32,ironfistcards,New,https://www.ebay.com/itm/336261256203
Topps Stadium Club Members Only Unopened Boxes 1991 (2) 1992 (6) 1993(2) 9 Total,$29.99,"Sold Mar 5, 2026",N,,,Y,N,$7.50,fenchenzel,Brand New,https://www.ebay.com/itm/227235956001
1991 Stadium Club Charter Topps Stadium Club Members Only Fernando Valenzuela,$1.65,"Sold Mar 4, 2026",N,,,N,N,$0.75,michaeorteg_63,New,https://www.ebay.com/itm/188025609801
1991 Topps Stadium Club Members Only Nolan Ryan Texas Rangers Baseball Card,$0.99,"Sold Mar 3, 2026",N,,,N,N,$1.03,jackieed12,New,https://www.ebay.com/itm/277729884963
Nolan Ryan-1991 Topps Stadium Club Members Only Texas Rangers,$1.95,"Sold Mar 1, 2026",N,,,N,Y,$0.00,danpe2305,New,https://www.ebay.com/itm/287088809174
Frank Thomas cards (1991-1999) White Sox - You Choose,$0.99,"Sold Feb 28, 2026",N,,,N,N,$0.75,sjosing,New,https://www.ebay.com/itm/376575621761
1991 GEORGE BRETT TOPPS STADIUM CLUB MEMBERS ONLY THREE DECADE CHAMP CARD,$0.65,"Sold Feb 28, 2026",N,,,Y,N,$0.00,gb89953qy3,New,https://www.ebay.com/itm/366222773487
