title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
1991 Upper Deck - Short Print Michael Jordan #SP1,$23.00,"Sold Mar 21, 2026",N,,,N,N,$5.52,jjcards23-2,New,https://www.ebay.com/itm/389763547484,https://i.ebayimg.com/images/g/nrEAAeSwVRppueye/s-l500.webp
1991 Upper Deck - Michael Jordan - #SP1 - PSA 5,$15.50,"Sold Mar 21, 2026",Y,PSA,5,Y,N,$5.07,onemorecard99,New,https://www.ebay.com/itm/157738883727,https://i.ebayimg.com/images/g/h6sAAeSwGmhpr6-F/s-l500.webp
1991 Upper Deck Michael Jordan #SP1,$20.00,"Sold Mar 21, 2026",N,,,N,Y,$5.52,turfeinarr,New,https://www.ebay.com/itm/298017131933,https://i.ebayimg.com/images/g/LNoAAeSwYsdpikG-/s-l500.webp
1991 Upper Deck Michael Jordan Auto #SP1 PSA Auth,"$10,300.00","Sold Mar 21, 2026",Y,PSA,AUTH,N,N,$70.00,altxyzofficial,New,https://www.ebay.com/itm/356372661440,https://i.ebayimg.com/images/g/h2EAAOSwC~xnXOy1/s-l500.webp
1991 Upper Deck - Short Print Michael Jordan #SP1 Rookie Card White Sox Uniform,$22.00,"Sold Mar 20, 2026",N,,,Y,N,$5.89,ricvier_25,New,https://www.ebay.com/itm/236681793891,https://i.ebayimg.com/images/g/IDUAAeSwg8ZpE19G/s-l500.webp
1991 Upper Deck Michael Jordan #SP1,$23.00,"Sold Mar 20, 2026",N,,,N,Y,$0.00,mikestorage,New,https://www.ebay.com/itm/287216291448,https://i.ebayimg.com/images/g/QWsAAeSwdnFpu28r/s-l500.webp
1991 Upper Deck Short Print Michael Jordan #SP1 PSA 5 HOF,$13.58,"Sold Mar 20, 2026",Y,PSA,5,Y,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/257399728324,https://i.ebayimg.com/images/g/qtIAAeSwhgxpsK5G/s-l500.webp
1991 Upper Deck - Short Print Michael Jordan #SP1,$19.99,"Sold Mar 20, 2026",N,,,N,N,$1.99,macsevan,New,https://www.ebay.com/itm/389767843222,https://i.ebayimg.com/images/g/EMMAAeSwYuRpuzx7/s-l500.webp
Upper Deck 1991 Michael Jordan #SP1 Short Print Chicago White Sox Baseball,$39.00,"Sold Mar 20, 2026",N,,,Y,N,$5.20,kayar6,New,https://www.ebay.com/itm/366262363458,https://i.ebayimg.com/images/g/7jMAAeSwFAlpsM5q/s-l500.webp
1991 Upper Deck - Michael Jordan #SP1,$16.50,"Sold Mar 20, 2026",N,,,Y,N,$5.00,jachia-8362,New,https://www.ebay.com/itm/389754433389,https://i.ebayimg.com/images/g/zy8AAeSwlYJpr3uL/s-l500.webp
Upper Deck 1991 Michael Jordan SP1 Short Print Insert Chicago White Sox Baseball,$19.99,"Sold Mar 20, 2026",N,,,N,Y,$0.00,tues21,New,https://www.ebay.com/itm/358354198971,https://i.ebayimg.com/images/g/dBUAAeSw9RFpvTR1/s-l500.webp
1991 UD #SP1 MICHAEL JORDAN PSA 6,$30.00,"Sold Mar 20, 2026",Y,PSA,6,N,N,$5.89,eth41n,New,https://www.ebay.com/itm/397711505099,https://i.ebayimg.com/images/g/eKcAAeSw6HNptMcI/s-l500.webp
1991 UPPER DECK #SP1 MICHAEL JORDAN PSA 8,$36.00,"Sold Mar 20, 2026",Y,PSA,8,Y,N,$5.99,psa,New,https://www.ebay.com/itm/298115549986,https://i.ebayimg.com/images/g/oOwAAeSwI0FpswlC/s-l500.webp
1991 Upper Deck Michael Jordan #SP1,$19.99,"Sold Mar 20, 2026",N,,,N,Y,$0.74,thebudmansteve,New,https://www.ebay.com/itm/336485084386,https://i.ebayimg.com/images/g/ecUAAeSw7x1puGiu/s-l500.webp
1991 Upper Deck - Michael Jordan #SP1 (RC) NM-MT or Better,$26.00,"Sold Mar 20, 2026",N,,,Y,N,$1.99,kener4,New,https://www.ebay.com/itm/127740606187,https://i.ebayimg.com/images/g/4JEAAeSwprxptKB~/s-l500.webp
MICHAEL JORDAN 1991 Upper Deck #SP1 PSA 8 NM-MT Chicago White Sox Baseball,$39.99,"Sold Mar 20, 2026",Y,PSA,8,N,N,$5.99,taga6253,New,https://www.ebay.com/itm/227177579195,https://i.ebayimg.com/images/g/gzoAAeSwHyJpavY6/s-l500.webp
1991 Upper Deck #SP1 Michael Jordan Baseball Rookie Not Mint E1,$17.99,"Sold Mar 20, 2026",N,,,N,Y,$0.00,jawasjunkyard,New,https://www.ebay.com/itm/227263239565,https://i.ebayimg.com/images/g/9voAAeSwQ31pu2Cw/s-l500.webp
1991 Upper Deck - Short Print Michael Jordan #SP1,$45.00,"Sold Mar 20, 2026",N,,,N,N,$5.95,on_the_black,New,https://www.ebay.com/itm/317981749101,https://i.ebayimg.com/images/g/II4AAeSwURJpsFvc/s-l500.webp
1991 Upper Deck Michael Jordan #SP1 Grade 8 Chicago White Sox,$22.00,"Sold Mar 20, 2026",N,,,Y,N,$5.07,blac_5052,New,https://www.ebay.com/itm/147202341777,https://i.ebayimg.com/images/g/RMkAAeSwyztpfOhg/s-l500.webp
1991 Upper Deck SP1 Michael Jordan White Sox,$26.00,"Sold Mar 20, 2026",N,,,Y,N,$7.95,lushe8963,New,https://www.ebay.com/itm/358325642344,https://i.ebayimg.com/images/g/8rwAAeSwpZhptCdR/s-l500.webp
1991 Upper Deck Michael Jordan #SP1 PSA 9,$110.00,"Sold Mar 20, 2026",Y,PSA,9,N,N,$7.95,mlovano77,New,https://www.ebay.com/itm/147172890682,https://i.ebayimg.com/images/g/7gUAAeSwpCVplK1q/s-l500.webp
