title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
1991 STADIUM CLUB #220 BARRY BONDS PSA 9,$16.50,$5.99,"Sold Dec 28, 2025",psa,New,https://www.ebay.com/itm/306659538416,https://i.ebayimg.com/images/g/YUoAAeSwSZ1pQE4l/s-l500.webp,Y,PSA,9,Y,N,16.5,5.99,22.49,2025-12-28,auction,False,True,PSA,9.0,220
1991 STADIUM CLUB CHARTER MEMBERS GEORGE BRETT ROYALS HOF PSA 10,$29.99,$5.00,"Sold Mar 8, 2026",4_sharp_corners,New,https://www.ebay.com/itm/267594948136,https://i.ebayimg.com/images/g/TGoAAeSwX1ZpqWim/s-l500.webp,Y,PSA,10,N,N,29.99,5.0,34.99,2026-03-08,bin,False,True,PSA,10.0,
Barry Bonds 1991 Stadium Club #220 Pittsburgh Pirates,$1.69,$0.00,"Sold Jan 2, 2026",petescagnell-0,New,https://www.ebay.com/itm/187854399651,https://i.ebayimg.com/images/g/EkQAAeSwlURpRAfl/s-l500.webp,N,,,N,N,1.69,0.0,1.69,2026-01-02,bin,False,False,,,220
1991 STADIUM CLUB CHARTER MEMBER CRACKED SLAB BCCG 10 KEN GRIFFEY JR SR MARINERS,$8.50,$5.00,"Sold Dec 26, 2025",mvpconsignments,New,https://www.ebay.com/itm/168016656187,https://i.ebayimg.com/images/g/tsgAAeSwRfJpRfiM/s-l500.webp,N,,,Y,N,8.5,5.0,13.5,2025-12-26,auction,False,True,,10.0,
1991 Stadium Club #220 Barry Bonds,$1.25,$0.74,"Sold Mar 13, 2026",cronk_enterprises,New,https://www.ebay.com/itm/188132217969,https://i.ebayimg.com/images/g/OmYAAeSwOJBprK99/s-l500.webp,N,,,N,N,1.25,0.74,1.99,2026-03-13,bin,False,False,,,220
Topps Stadium Club Charter Member Set Nolan Ryan Medallion/Cards with Key Chain,$0.99,$7.46,"Sold Mar 24, 2026",dafor_79,New,https://www.ebay.com/itm/377042959018,https://i.ebayimg.com/images/g/8OUAAeSwfVVplRRX/s-l500.webp,N,,,Y,N,0.99,7.46,8.45,2026-03-24,auction,False,False,,,
1991 Stadium Club #220 Barry Bonds Pittsburgh Pirates,$2.69,$0.00,"Sold Feb 20, 2026",lakebridgecards,New,https://www.ebay.com/itm/389647678800,https://i.ebayimg.com/images/g/BP8AAeSwkj1ple1j/s-l500.webp,N,,,N,Y,2.69,0.0,2.69,2026-02-20,bin,True,False,,,220
1991 STADIUM CLUB CHARTER MEMBERS KEN GRIFFEY JR & SR PSA 9,$15.38,$5.99,"Sold Dec 27, 2025",psa,New,https://www.ebay.com/itm/297847586269,https://i.ebayimg.com/images/g/4OMAAeSwQBBpQJ0E/s-l500.webp,Y,PSA,9,Y,N,15.38,5.99,21.37,2025-12-27,auction,False,True,PSA,9.0,
1991 Stadium Club Barry Sanders Members Only Lions,$1.00,$1.32,"Sold Mar 14, 2026",0910sports_ig,New,https://www.ebay.com/itm/257395670113,https://i.ebayimg.com/images/g/hTMAAeSwcSZpo3nq/s-l500.webp,N,,,Y,N,1.0,1.32,2.32,2026-03-14,auction,False,False,,,
"1991 Stadium Club Charter Member - Ken Griffey Jr, Ken Griffey Sr. PSA 9",$27.50,$2.99,"Sold Mar 18, 2026",mancaver,New,https://www.ebay.com/itm/206047420823,https://i.ebayimg.com/images/g/LjoAAeSwz8Rpgoh3/s-l500.webp,Y,PSA,9,N,Y,27.5,2.99,30.49,2026-03-18,bin,True,True,PSA,9.0,
